TransporterID	Protein_Name_generally	DrugID	Drug_Name	Km (microM)	Cell System
DTD0003	P-glycoprotein 1	DR00044	Topotecan	102	Madin-Darby canine kidney cells (MDCKII)-MDR1
DTD0003	P-glycoprotein 1	DR00264	Verapamil	24	Madin-Darby canine kidney cells (MDCKII)-MDR1
DTD0003	P-glycoprotein 1	DR00308	Vinblastine	146	Oocytes-MDR1
DTD0003	P-glycoprotein 1	DR01284	Trospium chloride	6.9	Primary human bladder urothelium cells (HBU)
DTD0003	P-glycoprotein 1	DR00215	Dexamethasone	826	Spodoptera frugiperda (Sf9) cells-MDR1
DTD0003	P-glycoprotein 1	DR00148	Digoxin	181	Spodoptera frugiperda (Sf9) cells-MDR1
DTD0003	P-glycoprotein 1	DR00171	Loperamide	11.4	Spodoptera frugiperda (Sf9) cells-MDR1
DTD0003	P-glycoprotein 1	DR00280	Nicardipine	2.6	Spodoptera frugiperda (Sf9) cells-MDR1
DTD0003	P-glycoprotein 1	DR00342	Paclitaxel	0.7	Spodoptera frugiperda (Sf9) cells-MDR1
DTD0003	P-glycoprotein 1	DR00342	Paclitaxel	1.4	Spodoptera frugiperda (Sf9) cells-MDR1
DTD0003	P-glycoprotein 1	DR00264	Verapamil	2	Spodoptera frugiperda (Sf9) cells-MDR1
DTD0003	P-glycoprotein 1	DR00264	Verapamil	4.1	Spodoptera frugiperda (Sf9) cells-MDR1
DTD0003	P-glycoprotein 1	DR00308	Vinblastine	1.7	Spodoptera frugiperda (Sf9) cells-MDR1
DTD0003	P-glycoprotein 1	DR00143	Vincristine	3.7	Spodoptera frugiperda (Sf9) cells-MDR1
DTD0003	P-glycoprotein 1	DR00195	Rhodamine 123	21	Spodoptera frugiperda (Sf9) cells-MDR1
DTD0003	P-glycoprotein 1	DR00334	Valinomycin	2.5	Spodoptera frugiperda (Sf9) cells-MDR1
DTD0004	Breast cancer resistance protein	DR00082	Methotrexate	681	Breast carcinoma cell line (MCF7)-BCRP
DTD0004	Breast cancer resistance protein	DR00082	Methotrexate	1340	Human embryonic kidney cells (HEK293)-BCRP
DTD0004	Breast cancer resistance protein	DR00082	Methotrexate	1410	Human embryonic kidney cells (HEK293)-BCRP
DTD0004	Breast cancer resistance protein	DR00206	Pitavastatin calcium	5.73	Human embryonic kidney cells (HEK293)-BCRP
DTD0004	Breast cancer resistance protein	DR00223	Rosuvastatin	2.02	Human embryonic kidney cells (HEK293)-BCRP
DTD0004	Breast cancer resistance protein	DR00208	Estradiol-17beta-glucuronide	44.2	Human embryonic kidney cells (HEK293)-BCRP
DTD0004	Breast cancer resistance protein	DR00161	SN-38	4	Human lung carcinoma cells (PC-6/SN2-5H)-BCRP
DTD0004	Breast cancer resistance protein	DR00223	Rosuvastatin	10.1	Madin-Darby canine kidney cells (MDCKII)-BCRP
DTD0004	Breast cancer resistance protein	DR00044	Topotecan	213	Madin-Darby canine kidney cells (MDCKII)-BCRP
DTD0004	Breast cancer resistance protein	DR00019	Estrone sulfate	16.6	Mouse lymphoma cells (P388)-BCRP
DTD0004	Breast cancer resistance protein	DR00019	Estrone sulfate	6.8	Myelogenous leukemia cells (K562)-BCRP
DTD0004	Breast cancer resistance protein	DR00284	Daunorubicin	2.5	Spodoptera frugiperda (Sf9) cells-BCRP
DTD0004	Breast cancer resistance protein	DR00301	Doxorubicin	5	Spodoptera frugiperda (Sf9) cells-BCRP
DTD0004	Breast cancer resistance protein	DR00269	Mitoxantrone	7	Spodoptera frugiperda (Sf9) cells-BCRP
DTD0004	Breast cancer resistance protein	DR00201	Sulfasalazine	0.7	Spodoptera frugiperda (Sf9) cells-BCRP
DTD0004	Breast cancer resistance protein	DR00336	Hematoporphyrin	17.8	Spodoptera frugiperda (Sf9) cells-BCRP
DTD0005	Organic anion transporter 2	DR00272	Bumetanide	7.52	Oocytes-OAT2
DTD0005	Organic anion transporter 2	DR00050	Erythromycin	18.5	Oocytes-OAT2
DTD0005	Organic anion transporter 2	DR00153	Fluorouracil	0.0538	Oocytes-OAT2
DTD0005	Organic anion transporter 2	DR00342	Paclitaxel	0.1428	Oocytes-OAT2
DTD0005	Organic anion transporter 2	DR00191	Theophylline	12.6	Oocytes-OAT2
DTD0005	Organic anion transporter 2	DR00102	Dinoprostone	0.713	Proximal tubule (S2) cells-OAT2
DTD0005	Organic anion transporter 2	DR00127	Tetracycline	439.9	Proximal tubule (S2) cells-OAT2
DTD0005	Organic anion transporter 2	DR00296	Zidovudine	26.8	Proximal tubule (S2) cells-OAT2
DTD0005	Organic anion transporter 2	DR00007	Prostaglandin f2Alpha	0.425	Proximal tubule (S2) cells-OAT2
DTD0006	Organic cation transporter 2	DR00133	Metformin	680	Human cervical cancer cell line (Hela)-OCT2
DTD0006	Organic cation transporter 2	DR00040	Amantadine	27	Human embryonic kidney cells (HEK293)-OCT2
DTD0006	Organic cation transporter 2	DR00207	Amiloride	95	Human embryonic kidney cells (HEK293)-OCT2
DTD0006	Organic cation transporter 2	DR00037	Cimetidine	60	Human embryonic kidney cells (HEK293)-OCT2
DTD0006	Organic cation transporter 2	DR00037	Cimetidine	72.6	Human embryonic kidney cells (HEK293)-OCT2
DTD0006	Organic cation transporter 2	DR00283	Dopamine	330	Human embryonic kidney cells (HEK293)-OCT2
DTD0006	Organic cation transporter 2	DR00283	Dopamine	1400	Human embryonic kidney cells (HEK293)-OCT2
DTD0006	Organic cation transporter 2	DR00081	Ergotidine	940	Human embryonic kidney cells (HEK293)-OCT2
DTD0006	Organic cation transporter 2	DR00278	Famotidine	56.1	Human embryonic kidney cells (HEK293)-OCT2
DTD0006	Organic cation transporter 2	DR00023	Memantine	34	Human embryonic kidney cells (HEK293)-OCT2
DTD0006	Organic cation transporter 2	DR00133	Metformin	990	Human embryonic kidney cells (HEK293)-OCT2
DTD0006	Organic cation transporter 2	DR00133	Metformin	1072	Human embryonic kidney cells (HEK293)-OCT2
DTD0006	Organic cation transporter 2	DR00133	Metformin	3171	Human embryonic kidney cells (HEK293)-OCT2
DTD0006	Organic cation transporter 2	DR00133	Metformin	3356	Human embryonic kidney cells (HEK293)-OCT2
DTD0006	Organic cation transporter 2	DR00268	Norepinephrine	1500	Human embryonic kidney cells (HEK293)-OCT2
DTD0006	Organic cation transporter 2	DR00163	Ranitidine	65.2	Human embryonic kidney cells (HEK293)-OCT2
DTD0006	Organic cation transporter 2	DR00237	Varenicline	370	Human embryonic kidney cells (HEK293)-OCT2
DTD0006	Organic cation transporter 2	DR00189	Serotonin	290	Human embryonic kidney cells (HEK293)-OCT2
DTD0006	Organic cation transporter 2	DR00106	Tetraethylammonium	63	Human embryonic kidney cells (HEK293)-OCT2
DTD0006	Organic cation transporter 2	DR00106	Tetraethylammonium	431	Human embryonic kidney cells (HEK293)-OCT2
DTD0006	Organic cation transporter 2	DR00110	YM155	2.67	Human embryonic kidney cells (HEK293)-OCT2
DTD0006	Organic cation transporter 2	DR00337	N-methylpyridinium	16	Human embryonic kidney cells (HEK293)-OCT2
DTD0006	Organic cation transporter 2	DR00337	N-methylpyridinium	19.5	Human embryonic kidney cells (HEK293)-OCT2
DTD0006	Organic cation transporter 2	DR00337	N-methylpyridinium	19.5	Human embryonic kidney cells (HEK293)-OCT2
DTD0006	Organic cation transporter 2	DR00040	Amantadine	27	Oocytes-OCT2
DTD0006	Organic cation transporter 2	DR00283	Dopamine	390	Oocytes-OCT2
DTD0006	Organic cation transporter 2	DR00081	Ergotidine	1300	Oocytes-OCT2
DTD0006	Organic cation transporter 2	DR00116	Lamivudine	46.3	Oocytes-OCT2
DTD0006	Organic cation transporter 2	DR00023	Memantine	34	Oocytes-OCT2
DTD0006	Organic cation transporter 2	DR00268	Norepinephrine	1900	Oocytes-OCT2
DTD0006	Organic cation transporter 2	DR00054	Quinine	2.6	Oocytes-OCT2
DTD0006	Organic cation transporter 2	DR00121	Choline	102	Oocytes-OCT2
DTD0006	Organic cation transporter 2	DR00121	Choline	210	Oocytes-OCT2
DTD0006	Organic cation transporter 2	DR00189	Serotonin	80	Oocytes-OCT2
DTD0006	Organic cation transporter 2	DR00106	Tetraethylammonium	33.8	Oocytes-OCT2
DTD0006	Organic cation transporter 2	DR00106	Tetraethylammonium	31	Oocytes-OCT2
DTD0006	Organic cation transporter 2	DR00106	Tetraethylammonium	76	Oocytes-OCT2
DTD0006	Organic cation transporter 2	DR00337	N-methylpyridinium	19	Oocytes-OCT2
DTD0006	Organic cation transporter 2	DR00102	Dinoprostone	0.0289	Proximal tubule (S2) cells-OCT2
DTD0006	Organic cation transporter 2	DR00007	Prostaglandin f2Alpha	0.344	Proximal tubule (S2) cells-OCT2
DTD0007	Multidrug and toxin extrusion protein 1	DR00133	Metformin	202	Human cervical cancer cell line (Hela)-MATE1
DTD0007	Multidrug and toxin extrusion protein 1	DR00325	Acyclovir	2640	Human embryonic kidney cells (HEK293)-MATE1
DTD0007	Multidrug and toxin extrusion protein 1	DR00037	Cimetidine	170	Human embryonic kidney cells (HEK293)-MATE1
DTD0007	Multidrug and toxin extrusion protein 1	DR00027	Ganciclovir	5120	Human embryonic kidney cells (HEK293)-MATE1
DTD0007	Multidrug and toxin extrusion protein 1	DR00133	Metformin	227	Human embryonic kidney cells (HEK293)-MATE1
DTD0007	Multidrug and toxin extrusion protein 1	DR00133	Metformin	780	Human embryonic kidney cells (HEK293)-MATE1
DTD0007	Multidrug and toxin extrusion protein 1	DR00292	Procainamide	1230	Human embryonic kidney cells (HEK293)-MATE1
DTD0007	Multidrug and toxin extrusion protein 1	DR00044	Topotecan	70	Human embryonic kidney cells (HEK293)-MATE1
DTD0007	Multidrug and toxin extrusion protein 1	DR00019	Estrone sulfate	470	Human embryonic kidney cells (HEK293)-MATE1
DTD0007	Multidrug and toxin extrusion protein 1	DR00002	Paraquat	169	Human embryonic kidney cells (HEK293)-MATE1
DTD0007	Multidrug and toxin extrusion protein 1	DR00106	Tetraethylammonium	220	Human embryonic kidney cells (HEK293)-MATE1
DTD0007	Multidrug and toxin extrusion protein 1	DR00106	Tetraethylammonium	380	Human embryonic kidney cells (HEK293)-MATE1
DTD0007	Multidrug and toxin extrusion protein 1	DR00337	N-methylpyridinium	16	Human embryonic kidney cells (HEK293)-MATE1
DTD0007	Multidrug and toxin extrusion protein 1	DR00337	N-methylpyridinium	100	Human embryonic kidney cells (HEK293)-MATE1
DTD0008	Organic anion transporting polypeptide 1B1	DR00288	Bosentan	44	Chinese hamster ovary (CHO) cells-OATP1B1
DTD0008	Organic anion transporting polypeptide 1B1	DR00124	Fluvastatin	1.4	Chinese hamster ovary (CHO) cells-OATP1B1
DTD0008	Organic anion transporting polypeptide 1B1	DR00124	Fluvastatin	3.5	Chinese hamster ovary (CHO) cells-OATP1B1
DTD0008	Organic anion transporting polypeptide 1B1	DR00071	Valsartan	17.8	Chinese hamster ovary (CHO) cells-OATP1B1
DTD0008	Organic anion transporting polypeptide 1B1	DR00208	Estradiol-17beta-glucuronide	5.4	Chinese hamster ovary (CHO) cells-OATP1B1
DTD0008	Organic anion transporting polypeptide 1B1	DR00208	Estradiol-17beta-glucuronide	5.9	Chinese hamster ovary (CHO) cells-OATP1B1
DTD0008	Organic anion transporting polypeptide 1B1	DR00019	Estrone sulfate	0.23	Chinese hamster ovary (CHO) cells-OATP1B1
DTD0008	Organic anion transporting polypeptide 1B1	DR00019	Estrone sulfate	2.4	Chinese hamster ovary (CHO) cells-OATP1B1
DTD0008	Organic anion transporting polypeptide 1B1	DR00344	Fluo-3	2.3	Chinese hamster ovary (CHO) cells-OATP1B1
DTD0008	Organic anion transporting polypeptide 1B1	DR00196	Rifampicin	1.5	Human cervical cancer cell line (Hela)-OATP1B1
DTD0008	Organic anion transporting polypeptide 1B1	DR00223	Rosuvastatin	4	Human cervical cancer cell line (Hela)-OATP1B1
DTD0008	Organic anion transporting polypeptide 1B1	DR00223	Rosuvastatin	7.3	Human cervical cancer cell line (Hela)-OATP1B1
DTD0008	Organic anion transporting polypeptide 1B1	DR00030	Atorvastatin	0.77	Human embryonic kidney cells (HEK293)-OATP1B1
DTD0008	Organic anion transporting polypeptide 1B1	DR00030	Atorvastatin	12.4	Human embryonic kidney cells (HEK293)-OATP1B1
DTD0008	Organic anion transporting polypeptide 1B1	DR00030	Atorvastatin	18.9	Human embryonic kidney cells (HEK293)-OATP1B1
DTD0008	Organic anion transporting polypeptide 1B1	DR01322	Cilostazol	17.7	Human embryonic kidney cells (HEK293)-OATP1B1
DTD0008	Organic anion transporting polypeptide 1B1	DR00856	Mesalazine	55.1	Human embryonic kidney cells (HEK293)-OATP1B1
DTD0008	Organic anion transporting polypeptide 1B1	DR00347	Olmesartan medoxomil	12.8	Human embryonic kidney cells (HEK293)-OATP1B1
DTD0008	Organic anion transporting polypeptide 1B1	DR00206	Pitavastatin calcium	3	Human embryonic kidney cells (HEK293)-OATP1B1
DTD0008	Organic anion transporting polypeptide 1B1	DR00206	Pitavastatin calcium	4.8	Human embryonic kidney cells (HEK293)-OATP1B1
DTD0008	Organic anion transporting polypeptide 1B1	DR00045	Pravastatin	33.7	Human embryonic kidney cells (HEK293)-OATP1B1
DTD0008	Organic anion transporting polypeptide 1B1	DR00045	Pravastatin	85.7	Human embryonic kidney cells (HEK293)-OATP1B1
DTD0008	Organic anion transporting polypeptide 1B1	DR00223	Rosuvastatin	0.8	Human embryonic kidney cells (HEK293)-OATP1B1
DTD0008	Organic anion transporting polypeptide 1B1	DR00071	Valsartan	1.39	Human embryonic kidney cells (HEK293)-OATP1B1
DTD0008	Organic anion transporting polypeptide 1B1	DR00252	Bilirubin	0.1	Human embryonic kidney cells (HEK293)-OATP1B1
DTD0008	Organic anion transporting polypeptide 1B1	DR00252	Bilirubin	0.28	Human embryonic kidney cells (HEK293)-OATP1B1
DTD0008	Organic anion transporting polypeptide 1B1	DR00305	Bromsulphthalein	0.14	Human embryonic kidney cells (HEK293)-OATP1B1
DTD0008	Organic anion transporting polypeptide 1B1	DR00208	Estradiol-17beta-glucuronide	2.5	Human embryonic kidney cells (HEK293)-OATP1B1
DTD0008	Organic anion transporting polypeptide 1B1	DR00208	Estradiol-17beta-glucuronide	8.29	Human embryonic kidney cells (HEK293)-OATP1B1
DTD0008	Organic anion transporting polypeptide 1B1	DR00019	Estrone sulfate	12.5	Human embryonic kidney cells (HEK293)-OATP1B1
DTD0008	Organic anion transporting polypeptide 1B1	DR00019	Estrone sulfate	0.46	Human embryonic kidney cells (HEK293)-OATP1B1
DTD0008	Organic anion transporting polypeptide 1B1	DR00019	Estrone sulfate	0.0675	Human embryonic kidney cells (HEK293)-OATP1B1
DTD0008	Organic anion transporting polypeptide 1B1	DR00019	Estrone sulfate	7	Human embryonic kidney cells (HEK293)-OATP1B1
DTD0008	Organic anion transporting polypeptide 1B1	DR01121	Taurocholic acid	33.8	Human embryonic kidney cells (HEK293)-OATP1B1
DTD0008	Organic anion transporting polypeptide 1B1	DR00124	Fluvastatin	31.1	Oocytes-OATP1B1
DTD0008	Organic anion transporting polypeptide 1B1	DR00107	Levothyroxine	3	Oocytes-OATP1B1
DTD0008	Organic anion transporting polypeptide 1B1	DR00173	Liothyronine	2.7	Oocytes-OATP1B1
DTD0008	Organic anion transporting polypeptide 1B1	DR00347	Olmesartan medoxomil	42.6	Oocytes-OATP1B1
DTD0008	Organic anion transporting polypeptide 1B1	DR00206	Pitavastatin calcium	3.6	Oocytes-OATP1B1
DTD0008	Organic anion transporting polypeptide 1B1	DR00206	Pitavastatin calcium	6.7	Oocytes-OATP1B1
DTD0008	Organic anion transporting polypeptide 1B1	DR00045	Pravastatin	57.5	Oocytes-OATP1B1
DTD0008	Organic anion transporting polypeptide 1B1	DR00196	Rifampicin	13	Oocytes-OATP1B1
DTD0008	Organic anion transporting polypeptide 1B1	DR00223	Rosuvastatin	8.5	Oocytes-OATP1B1
DTD0008	Organic anion transporting polypeptide 1B1	DR00252	Bilirubin	0.0076	Oocytes-OATP1B1
DTD0008	Organic anion transporting polypeptide 1B1	DR00305	Bromsulphthalein	0.3	Oocytes-OATP1B1
DTD0008	Organic anion transporting polypeptide 1B1	DR00019	Estrone sulfate	0.094	Oocytes-OATP1B1
DTD0008	Organic anion transporting polypeptide 1B1	DR00019	Estrone sulfate	5.34	Oocytes-OATP1B1
DTD0008	Organic anion transporting polypeptide 1B1	DR01121	Taurocholic acid	13.6	Oocytes-OATP1B1
DTD0009	Organic cation transporter 3	DR00133	Metformin	2260	Chinese hamster ovary (CHO) cells-OCT3
DTD0009	Organic cation transporter 3	DR00028	Etilefrine	2800	Chinese hamster ovary (CHO) cells-OCT3
DTD0009	Organic cation transporter 3	DR00081	Ergotidine	180	Human embryonic kidney cells (HEK293)-OCT3
DTD0009	Organic cation transporter 3	DR00081	Ergotidine	220	Human embryonic kidney cells (HEK293)-OCT3
DTD0009	Organic cation transporter 3	DR00268	Norepinephrine	510	Human embryonic kidney cells (HEK293)-OCT3
DTD0009	Organic cation transporter 3	DR00268	Norepinephrine	2630	Human embryonic kidney cells (HEK293)-OCT3
DTD0009	Organic cation transporter 3	DR00076	Epinephrine	240	Human embryonic kidney cells (HEK293)-OCT3
DTD0009	Organic cation transporter 3	DR00337	N-methylpyridinium	47	Human retinal pigment epithelial (HRPE) cells-OCT3
DTD0010	Organic cation transporter 1	DR00133	Metformin	2160	Chinese hamster ovary (CHO) cells-OCT1
DTD0010	Organic cation transporter 1	DR00085	Pentamidine	36.4	Chinese hamster ovary (CHO) cells-OCT1
DTD0010	Organic cation transporter 1	DR00370	Antiparasitics	6.1	Chinese hamster ovary (CHO) cells-OCT1
DTD0010	Organic cation transporter 1	DR00106	Tetraethylammonium	229	Human cervical cancer cell line (Hela)-OCT1
DTD0010	Organic cation transporter 1	DR00277	Ipratropium	9	Human embryonic kidney cells (HEK293)-OCT1
DTD0010	Organic cation transporter 1	DR00133	Metformin	1060	Human embryonic kidney cells (HEK293)-OCT1
DTD0010	Organic cation transporter 1	DR00133	Metformin	1470	Human embryonic kidney cells (HEK293)-OCT1
DTD0010	Organic cation transporter 1	DR00133	Metformin	5450	Human embryonic kidney cells (HEK293)-OCT1
DTD0010	Organic cation transporter 1	DR00110	YM155	22.1	Human embryonic kidney cells (HEK293)-OCT1
DTD0010	Organic cation transporter 1	DR00337	N-methylpyridinium	21	Madin-Darby canine kidney cells (MDCKII)-OCT1
DTD0010	Organic cation transporter 1	DR00163	Ranitidine	70	Oocytes-OCT1
DTD0010	Organic cation transporter 1	DR00337	N-methylpyridinium	14.6	Oocytes-OCT1
