TransporterID	Protein_Name_generally	Family	SubFamily
DTD0019	Sodium/taurocholate cotransporting polypeptide	Bile Acid:Na(+) Symporter (BASS) Family	.
DTD0020	Apical sodium-dependent bile acid transporter	Bile Acid:Na(+) Symporter (BASS) Family	.
DTD0021	Peptide transporter 1	Proton-Dependent Oligopeptide Transporter (POT/PTR) Family	.
DTD0022	Peptide transporter 2	Proton-Dependent Oligopeptide Transporter (POT/PTR) Family	.
DTD0023	Organic cation/carnitine transporter 2	Major Facilitator Superfamily (MFS)	Organic Cation Transporter (OCT) Family
DTD0024	Organic anion transporter 1	Major Facilitator Superfamily (MFS)	Organic Cation Transporter (OCT) Family
DTD0025	Organic anion transporter 3	Major Facilitator Superfamily (MFS)	Organic Cation Transporter (OCT) Family
DTD0026	Organic anion transporter 4	Major Facilitator Superfamily (MFS)	Organic Cation Transporter (OCT) Family
DTD0027	Urate anion exchanger 1	Major Facilitator Superfamily (MFS)	Organic Cation Transporter (OCT) Family
DTD0028	Multidrug and toxin extrusion protein 2	Multidrug/Oligosaccharidyl-Lipid/Polysaccharide (MOP) Flippase Superfamily	Multi Antimicrobial Extrusion (MATE) Family
DTD0029	Organic anion transporting polypeptide 1A2	Organo Anion Transporter (OAT) Family	.
DTD0030	Organic anion transporting polypeptide 1B3	Organo Anion Transporter (OAT) Family	.
DTD0031	Organic anion transporting polypeptide 2B1	Organo Anion Transporter (OAT) Family	.
DTD0034	Vesicular amine transporter 2	Major Facilitator Superfamily (MFS)	Drug:H+ Antiporter-1 (12 Spanner) (DHA1) Family
DTD0035	Zinc transporter 8	Cation Diffusion Facilitator (CDF) Family	.
DTD0036	ATP-binding cassette sub-family A member 1	ATP-Binding Cassette (ABC) Superfamily	Cholesterol/Phospholipid/Retinal (CPR) Flippase Family (ABCA)
DTD0037	ATP-binding cassette sub-family A member 10	ATP-Binding Cassette (ABC) Superfamily	.
DTD0038	ATP-binding cassette sub-family A member 12	ATP-Binding Cassette (ABC) Superfamily	Cholesterol/Phospholipid/Retinal (CPR) Flippase Family (ABCA)
DTD0040	ATP-binding cassette sub-family A member 2	ATP-Binding Cassette (ABC) Superfamily	Cholesterol/Phospholipid/Retinal (CPR) Flippase Family (ABCA)
DTD0041	ATP-binding cassette sub-family A member 3	ATP-Binding Cassette (ABC) Superfamily	Cholesterol/Phospholipid/Retinal (CPR) Flippase Family (ABCA)
DTD0042	ATP-binding cassette sub-family A member 4	ATP-Binding Cassette (ABC) Superfamily	Cholesterol/Phospholipid/Retinal (CPR) Flippase Family (ABCA)
DTD0043	ATP-binding cassette sub-family A member 5	ATP-Binding Cassette (ABC) Superfamily	Cholesterol/Phospholipid/Retinal (CPR) Flippase Family (ABCA)
DTD0044	ATP-binding cassette sub-family A member 6	ATP-Binding Cassette (ABC) Superfamily	.
DTD0045	ATP-binding cassette sub-family A member 7	ATP-Binding Cassette (ABC) Superfamily	.
DTD0046	ATP-binding cassette sub-family A member 8	ATP-Binding Cassette (ABC) Superfamily	Cholesterol/Phospholipid/Retinal (CPR) Flippase Family (ABCA)
DTD0047	ATP-binding cassette sub-family A member 9	ATP-Binding Cassette (ABC) Superfamily	.
DTD0051	ATP-binding cassette sub-family B member 5	ATP-Binding Cassette (ABC) Superfamily	Multidrug Resistance Exporter (MDR) Family (ABCB)
DTD0052	ATP-binding cassette sub-family B member 6	ATP-Binding Cassette (ABC) Superfamily	Heavy Metal Transporter (HMT) Family (ABCB)
DTD0053	ABC transporter 7 protein	ATP-Binding Cassette (ABC) Superfamily	.
DTD0054	ATP-binding cassette sub-family B member 8	ATP-Binding Cassette (ABC) Superfamily	Multidrug Resistance Exporter (MDR) Family (ABCB)
DTD0055	TAP-like protein	ATP-Binding Cassette (ABC) Superfamily	MHC Peptide Transporter (TAP) Family (ABCB)
DTD0056	Multidrug resistance-associated protein 7	ATP-Binding Cassette (ABC) Superfamily	Drug Conjugate Transporter (DCT) Family (ABCC)
DTD0057	Multidrug resistance-associated protein 8	ATP-Binding Cassette (ABC) Superfamily	Drug Conjugate Transporter (DCT) Family (ABCC)
DTD0060	Cystic fibrosis transmembrane conductance regulator	ATP-Binding Cassette (ABC) Superfamily	.
DTD0061	Sulfonylurea receptor 1	ATP-Binding Cassette (ABC) Superfamily	Drug Conjugate Transporter (DCT) Family (ABCC)
DTD0062	Sulfonylurea receptor 2	ATP-Binding Cassette (ABC) Superfamily	Drug Conjugate Transporter (DCT) Family (ABCC)
DTD0063	Adrenoleukodystrophy protein	ATP-Binding Cassette (ABC) Superfamily	.
DTD0064	Adrenoleukodystrophy-like 1	ATP-Binding Cassette (ABC) Superfamily	.
DTD0065	ATP-binding cassette sub-family D member 3	ATP-Binding Cassette (ABC) Superfamily	.
DTD0066	Peroxisomal membrane protein 1-like	ATP-Binding Cassette (ABC) Superfamily	.
DTD0071	ATP-binding cassette sub-family G member 1	ATP-Binding Cassette (ABC) Superfamily	Eye Pigment Precursor Transporter (EPP) Family (ABCG)
DTD0076	Sodium/bile acid cotransporter 4	Bile Acid:Na(+) Symporter (BASS) Family	.
DTD0077	Sodium/bile acid cotransporter 5	Bile Acid:Na(+) Symporter (BASS) Family	.
DTD0078	Sodium-dependent organic anion transporter	Bile Acid:Na(+) Symporter (BASS) Family	.
DTD0079	Sodium/bile acid cotransporter 7	Bile Acid:Na(+) Symporter (BASS) Family	.
DTD0080	Natural resistance-associated macrophage protein 1	Metal Ion (Mn(2+)-Iron) Transporter (NRAMP) Family	.
DTD0081	Natural resistance-associated macrophage protein 2	Metal Ion (Mn(2+)-Iron) Transporter (NRAMP) Family	.
DTD0082	Bumetanide-sensitive sodium-(potassium)-chloride cotransporter 2	Cation-Chloride Cotransporter (CCC) Family	.
DTD0083	Bumetanide-sensitive sodium-(potassium)-chloride cotransporter 1	Cation-Chloride Cotransporter (CCC) Family	.
DTD0084	Thiazide-sensitive sodium-chloride cotransporter	Cation-Chloride Cotransporter (CCC) Family	.
DTD0085	Electroneutral potassium-chloride cotransporter 1	Cation-Chloride Cotransporter (CCC) Family	.
DTD0086	Electroneutral potassium-chloride cotransporter 2	Cation-Chloride Cotransporter (CCC) Family	.
DTD0087	Electroneutral potassium-chloride cotransporter 3	Cation-Chloride Cotransporter (CCC) Family	.
DTD0088	Electroneutral potassium-chloride cotransporter 4	Cation-Chloride Cotransporter (CCC) Family	.
DTD0089	Cation-chloride cotransporter 9	Cation-Chloride Cotransporter (CCC) Family	.
DTD0091	Sodium/sulfate cotransporter 1	Divalent Anion:Na(+) Symporter (DASS) Family	.
DTD0092	Sodium/dicarboxylate cotransporter 1	Divalent Anion:Na(+) Symporter (DASS) Family	.
DTD0093	Sodium/dicarboxylate cotransporter 3	Divalent Anion:Na(+) Symporter (DASS) Family	.
DTD0094	Na(+)/sulfate cotransporter SUT-1	Divalent Anion:Na(+) Symporter (DASS) Family	.
DTD0095	Sodium-coupled citrate transporter	Divalent Anion:Na(+) Symporter (DASS) Family	.
DTD0096	Urea transporter 1	Urea Transporter (UT) Family	.
DTD0097	Urea transporter 2	Urea Transporter (UT) Family	.
DTD0098	Peptide/histidine transporter 2	Proton-Dependent Oligopeptide Transporter (POT/PTR) Family	.
DTD0099	Peptide transporter 4	Proton-Dependent Oligopeptide Transporter (POT/PTR) Family	.
DTD0100	Monocarboxylate transporter 1	Major Facilitator Superfamily (MFS)	Monocarboxylate Transporter (MCT) Family
DTD0101	Monocarboxylate transporter 10	Major Facilitator Superfamily (MFS)	Monocarboxylate Transporter (MCT) Family
DTD0102	Monocarboxylate transporter 11	Major Facilitator Superfamily (MFS)	Monocarboxylate Transporter (MCT) Family
DTD0103	Monocarboxylate transporter 12	Major Facilitator Superfamily (MFS)	Monocarboxylate Transporter (MCT) Family
DTD0104	Monocarboxylate transporter 13	Major Facilitator Superfamily (MFS)	Monocarboxylate Transporter (MCT) Family
DTD0105	Monocarboxylate transporter 14	Major Facilitator Superfamily (MFS)	Monocarboxylate Transporter (MCT) Family
DTD0106	Monocarboxylate transporter 8	Major Facilitator Superfamily (MFS)	Monocarboxylate Transporter (MCT) Family
DTD0107	Monocarboxylate transporter 4	Major Facilitator Superfamily (MFS)	Monocarboxylate Transporter (MCT) Family
DTD0109	Monocarboxylate transporter 6	Major Facilitator Superfamily (MFS)	Monocarboxylate Transporter (MCT) Family
DTD0110	Monocarboxylate transporter 7	Major Facilitator Superfamily (MFS)	Monocarboxylate Transporter (MCT) Family
DTD0111	Monocarboxylate transporter 2	Major Facilitator Superfamily (MFS)	Monocarboxylate Transporter (MCT) Family
DTD0112	Monocarboxylate transporter 3	Major Facilitator Superfamily (MFS)	Monocarboxylate Transporter (MCT) Family
DTD0113	Monocarboxylate transporter 9	Major Facilitator Superfamily (MFS)	Monocarboxylate Transporter (MCT) Family
DTD0114	Sodium-dependent phosphate transport protein 1	Major Facilitator Superfamily (MFS)	Anion:Cation Symporter (ACS) Family
DTD0115	Sodium-dependent phosphate transport protein 3	Major Facilitator Superfamily (MFS)	Anion:Cation Symporter (ACS) Family
DTD0116	Sodium-dependent phosphate transport protein 4	Major Facilitator Superfamily (MFS)	Anion:Cation Symporter (ACS) Family
DTD0117	Probable small intestine urate exporter	Major Facilitator Superfamily (MFS)	Anion:Cation Symporter (ACS) Family
DTD0118	Vesicular H(+)/Aspartate-glutamate cotransporter	Major Facilitator Superfamily (MFS)	Anion:Cation Symporter (ACS) Family
DTD0119	Vesicular glutamate transporter 2	Major Facilitator Superfamily (MFS)	Anion:Cation Symporter (ACS) Family
DTD0120	Vesicular glutamate transporter 1	Major Facilitator Superfamily (MFS)	Anion:Cation Symporter (ACS) Family
DTD0121	Vesicular glutamate transporter 3	Major Facilitator Superfamily (MFS)	Anion:Cation Symporter (ACS) Family
DTD0122	Solute carrier family 17 member 9	Major Facilitator Superfamily (MFS)	Anion:Cation Symporter (ACS) Family
DTD0123	Vesicular amine transporter 1	Major Facilitator Superfamily (MFS)	Drug:H+ Antiporter-1 (12 Spanner) (DHA1) Family
DTD0124	Vesicular acetylcholine transporter	Major Facilitator Superfamily (MFS)	Drug:H+ Antiporter-1 (12 Spanner) (DHA1) Family
DTD0125	MFS-type transporter SLC18B1	Major Facilitator Superfamily (MFS)	Drug:H+ Antiporter-1 (12 Spanner) (DHA1) Family
DTD0126	Folate transporter 1	Reduced Folate Carrier (RFC) Family	.
DTD0127	Thiamine transporter 1	Reduced Folate Carrier (RFC) Family	.
DTD0128	Thiamine transporter 2	Reduced Folate Carrier (RFC) Family	.
DTD0129	Excitatory amino acid transporter 3	Dicarboxylate/Amino Acid:Cation (Na(+) Or H(+)) Symporter (DAACS) Family	.
DTD0130	Excitatory amino acid transporter 2	Dicarboxylate/Amino Acid:Cation (Na(+) Or H(+)) Symporter (DAACS) Family	.
DTD0131	Excitatory amino acid transporter 1	Dicarboxylate/Amino Acid:Cation (Na(+) Or H(+)) Symporter (DAACS) Family	.
DTD0132	Alanine/serine/cysteine/threonine transporter 1	Dicarboxylate/Amino Acid:Cation (Na(+) Or H(+)) Symporter (DAACS) Family	.
DTD0133	Alanine/serine/cysteine/threonine transporter 2	Dicarboxylate/Amino Acid:Cation (Na(+) Or H(+)) Symporter (DAACS) Family	.
DTD0134	Excitatory amino acid transporter 4	Dicarboxylate/Amino Acid:Cation (Na(+) Or H(+)) Symporter (DAACS) Family	.
DTD0135	Excitatory amino acid transporter 5	Dicarboxylate/Amino Acid:Cation (Na(+) Or H(+)) Symporter (DAACS) Family	.
DTD0136	Sodium-dependent phosphate transporter 1	Inorganic Phosphate Transporter (PIT) Family	.
DTD0137	Sodium-dependent phosphate transporter 2	Inorganic Phosphate Transporter (PIT) Family	.
DTD0139	Organic cation transporter-like 3	Major Facilitator Superfamily (MFS)	Organic Cation Transporter (OCT) Family
DTD0142	Fly-like putative transporter 2	Major Facilitator Superfamily (MFS)	Organic Cation Transporter (OCT) Family
DTD0143	Brain-type organic cation transporter	Major Facilitator Superfamily (MFS)	Organic Cation Transporter (OCT) Family
DTD0145	Organic anion transporter 6	Major Facilitator Superfamily (MFS)	Organic Cation Transporter (OCT) Family
DTD0146	Solute carrier family 22 member 23	Major Facilitator Superfamily (MFS)	Organic Cation Transporter (OCT) Family
DTD0148	Organic anion transporter UST6	Major Facilitator Superfamily (MFS)	Organic Cation Transporter (OCT) Family
DTD0151	Organic cation/carnitine transporter 1	Major Facilitator Superfamily (MFS)	Organic Cation Transporter (OCT) Family
DTD0152	Organic anion transporter 7	Major Facilitator Superfamily (MFS)	Organic Cation Transporter (OCT) Family
DTD0155	Synaptic vesicle glycoprotein 2C	Major Facilitator Superfamily (MFS)	Vesicular Neurotransmitter Transporter (VNT) Family (Related to the SP Family
DTD0158	Sodium-dependent vitamin C transporter 1	Nucleobase/Ascorbate Transporter (NAT) Or Nucleobase:Cation Symporter-2 (NCS2) Family	.
DTD0159	Sodium-dependent vitamin C transporter 2	Nucleobase/Ascorbate Transporter (NAT) Or Nucleobase:Cation Symporter-2 (NCS2) Family	.
DTD0160	Na(+)/L-ascorbic acid transporter 3	Nucleobase/Ascorbate Transporter (NAT) Or Nucleobase:Cation Symporter-2 (NCS2) Family	.
DTD0162	Sodium/potassium/calcium exchanger 1	Ca(2+):Cation Antiporter (CACA) Family	.
DTD0163	Sodium/potassium/calcium exchanger 2	Ca(2+):Cation Antiporter (CACA) Family	.
DTD0164	Sodium/potassium/calcium exchanger 3	Ca(2+):Cation Antiporter (CACA) Family	.
DTD0165	Sodium/potassium/calcium exchanger 4	Ca(2+):Cation Antiporter (CACA) Family	.
DTD0166	Sodium/potassium/calcium exchanger 5	Ca(2+):Cation Antiporter (CACA) Family	.
DTD0167	Tricarboxylate transport protein	Mitochondrial Carrier (MC) Family	.
DTD0168	Mitochondrial dicarboxylate carrier	Mitochondrial Carrier (MC) Family	.
DTD0169	Mitochondrial 2-oxoglutarate/malate carrier	Mitochondrial Carrier (MC) Family	.
DTD0170	Calcium-binding mitochondrial carrier protein Aralar1	Mitochondrial Carrier (MC) Family	.
DTD0171	Calcium-binding mitochondrial carrier protein Aralar2	Mitochondrial Carrier (MC) Family	.
DTD0172	Brain mitochondrial carrier protein 1	Mitochondrial Carrier (MC) Family	.
DTD0173	Mitochondrial ornithine transporter 1	Mitochondrial Carrier (MC) Family	.
DTD0175	Graves disease carrier protein	Mitochondrial Carrier (MC) Family	.
DTD0176	Peroxisomal membrane protein PMP34	Mitochondrial Carrier (MC) Family	.
DTD0177	Mitochondrial glutamate carrier 2	Mitochondrial Carrier (MC) Family	.
DTD0178	Mitochondrial thiamine pyrophosphate carrier	Mitochondrial Carrier (MC) Family	.
DTD0179	Mitochondrial ornithine transporter 2	Mitochondrial Carrier (MC) Family	.
DTD0180	Carnitine/acylcarnitine translocase	Mitochondrial Carrier (MC) Family	.
DTD0182	Mitochondrial 2-oxodicarboxylate carrier	Mitochondrial Carrier (MC) Family	.
DTD0183	Mitochondrial glutamate carrier 1	Mitochondrial Carrier (MC) Family	.
DTD0184	Calcium-binding mitochondrial carrier protein SCaMC-3	Mitochondrial Carrier (MC) Family	.
DTD0185	Calcium-binding mitochondrial carrier protein SCaMC-1	Mitochondrial Carrier (MC) Family	.
DTD0186	Calcium-binding mitochondrial carrier protein SCaMC-2	Mitochondrial Carrier (MC) Family	.
DTD0187	S-adenosylmethionine mitochondrial carrier protein	Mitochondrial Carrier (MC) Family	.
DTD0188	Mitochondrial uncoupling protein 4	Mitochondrial Carrier (MC) Family	.
DTD0189	Mitochondrial iron transporter 2	Mitochondrial Carrier (MC) Family	.
DTD0190	Mitochondrial ornithine transporter 3	Mitochondrial Carrier (MC) Family	.
DTD0191	Phosphate carrier protein	Mitochondrial Carrier (MC) Family	.
DTD0193	Adenine nucleotide translocator 4	Mitochondrial Carrier (MC) Family	.
DTD0194	Mitochondrial folate transporter/carrier	Mitochondrial Carrier (MC) Family	.
DTD0195	Bone marrow stromal cell mitochondrial carrier protein	Mitochondrial Carrier (MC) Family	.
DTD0198	Solute carrier family 25 member 36	Mitochondrial Carrier (MC) Family	.
DTD0199	Mitochondrial iron transporter 1	Mitochondrial Carrier (MC) Family	.
DTD0200	Mitochondrial glycine transporter	Mitochondrial Carrier (MC) Family	.
DTD0202	Adenine nucleotide translocator 1	Mitochondrial Carrier (MC) Family	.
DTD0205	Mitochondrial coenzyme A transporter SLC25A42	Mitochondrial Carrier (MC) Family	.
DTD0213	Adenine nucleotide translocator 2	Mitochondrial Carrier (MC) Family	.
DTD0222	Adenine nucleotide translocator 3	Mitochondrial Carrier (MC) Family	.
DTD0224	Mitochondrial brown fat uncoupling protein 1	Mitochondrial Carrier (MC) Family	.
DTD0225	Mitochondrial uncoupling protein 2	Mitochondrial Carrier (MC) Family	.
DTD0226	Mitochondrial uncoupling protein 3	Mitochondrial Carrier (MC) Family	.
DTD0227	Sulfate anion transporter 1	Sulfate Permease (SULP) Family	.
DTD0230	Sulfate transporter	Sulfate Permease (SULP) Family	.
DTD0231	Chloride anion exchanger	Sulfate Permease (SULP) Family	.
DTD0232	Sodium-independent chloride/iodide transporter	Sulfate Permease (SULP) Family	.
DTD0233	Prestin	Sulfate Permease (SULP) Family	.
DTD0234	Anion exchange transporter	Sulfate Permease (SULP) Family	.
DTD0235	Anion exchange transporter	Sulfate Permease (SULP) Family	.
DTD0237	Anion transporter/exchanger protein 9	Sulfate Permease (SULP) Family	.
DTD0238	Fatty acid transport protein 1	Fatty Acid Transporter (FAT) Family	.
DTD0239	Very long-chain acyl-CoA synthetase	Fatty Acid Transporter (FAT) Family	.
DTD0240	Long-chain fatty acid transport protein 3	Fatty Acid Transporter (FAT) Family	.
DTD0241	Long-chain fatty acid transport protein 4	Fatty Acid Transporter (FAT) Family	.
DTD0242	Bile acid-CoA ligase	Fatty Acid Transporter (FAT) Family	.
DTD0243	Long-chain fatty acid transport protein 6	Fatty Acid Transporter (FAT) Family	.
DTD0244	Concentrative nucleoside transporter 1	Concentrative Nucleoside Transporter (CNT) Family	.
DTD0245	Concentrative nucleoside transporter 2	Concentrative Nucleoside Transporter (CNT) Family	.
DTD0246	Concentrative Na(+)-nucleoside cotransporter 3	Concentrative Nucleoside Transporter (CNT) Family	.
DTD0247	Equilibrative nucleoside transporter 1	Equilibrative Nucleoside Transporter (ENT) Family	.
DTD0248	Equilibrative nucleoside transporter 2	Equilibrative Nucleoside Transporter (ENT) Family	.
DTD0249	Equilibrative nucleoside transporter 3	Equilibrative Nucleoside Transporter (ENT) Family	.
DTD0250	Equilibrative nucleoside transporter 4	Equilibrative Nucleoside Transporter (ENT) Family	.
DTD0251	Glucose transporter type 1	Major Facilitator Superfamily (MFS)	Sugar Porter (SP) Family
DTD0252	Glucose transporter type 10	Major Facilitator Superfamily (MFS)	Sugar Porter (SP) Family
DTD0253	Glucose transporter type 11	Major Facilitator Superfamily (MFS)	Sugar Porter (SP) Family
DTD0254	Glucose transporter type 12	Major Facilitator Superfamily (MFS)	Sugar Porter (SP) Family
DTD0255	Proton myo-inositol cotransporter	Major Facilitator Superfamily (MFS)	Sugar Porter (SP) Family
DTD0256	Glucose transporter type 14	Major Facilitator Superfamily (MFS)	Sugar Porter (SP) Family
DTD0257	Glucose transporter type 2	Major Facilitator Superfamily (MFS)	Sugar Porter (SP) Family
DTD0258	Glucose transporter type 3	Major Facilitator Superfamily (MFS)	Sugar Porter (SP) Family
DTD0262	Glucose transporter type 4	Major Facilitator Superfamily (MFS)	Sugar Porter (SP) Family
DTD0263	Glucose transporter type 5	Major Facilitator Superfamily (MFS)	Sugar Porter (SP) Family
DTD0264	Glucose transporter type 6	Major Facilitator Superfamily (MFS)	Sugar Porter (SP) Family
DTD0265	Glucose transporter type 7	Major Facilitator Superfamily (MFS)	Sugar Porter (SP) Family
DTD0266	Glucose transporter type 8	Major Facilitator Superfamily (MFS)	Sugar Porter (SP) Family
DTD0267	Glucose transporter type 9	Major Facilitator Superfamily (MFS)	Sugar Porter (SP) Family
DTD0269	Zinc transporter 1	Cation Diffusion Facilitator (CDF) Family	.
DTD0270	Zinc transporter 10	Cation Diffusion Facilitator (CDF) Family	.
DTD0271	Zinc transporter 2	Cation Diffusion Facilitator (CDF) Family	.
DTD0272	Zinc transporter 3	Cation Diffusion Facilitator (CDF) Family	.
DTD0273	Zinc transporter 4	Cation Diffusion Facilitator (CDF) Family	.
DTD0274	Zinc transporter 5	Cation Diffusion Facilitator (CDF) Family	.
DTD0275	Zinc transporter 6	Cation Diffusion Facilitator (CDF) Family	.
DTD0276	Zinc transporter 7	Cation Diffusion Facilitator (CDF) Family	.
DTD0277	Zinc transporter 9	Cation Diffusion Facilitator (CDF) Family	.
DTD0278	High affinity copper uptake protein 1	Copper Transporter (CTR) Family	.
DTD0280	Probable low affinity copper uptake protein 2	Copper Transporter (CTR) Family	.
DTD0281	Vesicular inhibitory amino acid transporter	Amino Acid/Auxin Permease (AAAP) Family	.
DTD0282	Acetyl-coenzyme A transporter 1	Major Facilitator Superfamily (MFS)	Peptide/Acetyl-Coenzyme A/Drug Transporter (PAT) Family
DTD0284	Sodium-dependent phosphate transport protein 2A	Phosphate:Na(+) Symporter (PNAS) Family	.
DTD0285	Sodium-dependent phosphate transport protein 2B	Phosphate:Na(+) Symporter (PNAS) Family	.
DTD0286	Sodium-dependent phosphate transport protein 2C	Phosphate:Na(+) Symporter (PNAS) Family	.
DTD0287	CMP-sialic acid transporter	Drug/Metabolite Transporter (DMT) Superfamily	CMP-Sialate:CMP Antiporter (CSA) Family
DTD0288	UDP-galactose translocator	Drug/Metabolite Transporter (DMT) Superfamily	CMP-Sialate:CMP Antiporter (CSA) Family
DTD0289	UDP-N-acetylglucosamine transporter	Drug/Metabolite Transporter (DMT) Superfamily	CMP-Sialate:CMP Antiporter (CSA) Family
DTD0290	Probable UDP-sugar transporter protein SLC35A4	Drug/Metabolite Transporter (DMT) Superfamily	CMP-Sialate:CMP Antiporter (CSA) Family
DTD0291	Probable UDP-sugar transporter protein SLC35A5	Drug/Metabolite Transporter (DMT) Superfamily	CMP-Sialate:CMP Antiporter (CSA) Family
DTD0292	UDP-galactose transporter-related protein 1	Drug/Metabolite Transporter (DMT) Superfamily	UDP-Galactose:UMP Antiporter (UGA) Family
DTD0293	Adenosine 3'-phospho 5'-phosphosulfate transporter 1	Drug/Metabolite Transporter (DMT) Superfamily	UDP-Galactose:UMP Antiporter (UGA) Family
DTD0294	Adenosine 3'-phospho 5'-phosphosulfate transporter 2	Drug/Metabolite Transporter (DMT) Superfamily	UDP-Galactose:UMP Antiporter (UGA) Family
DTD0295	UDP-xylose and UDP-N-acetylglucosamine transporter	Drug/Metabolite Transporter (DMT) Superfamily	UDP-N-Acetylglucosamine:UMP Antiporter (UAA) Family
DTD0296	GDP-fucose transporter 1	Drug/Metabolite Transporter (DMT) Superfamily	GDP-fucose Transporter (GFT) Family
DTD0298	UDP-glucuronic acid/UDP-N-acetylgalactosamine transporter	Drug/Metabolite Transporter (DMT) Superfamily	UDP-glucuronate/UDP-N-acetylgalactosamine Transporter (UGnT) Family
DTD0299	UDP-N-acetylglucosamine/UDP-glucose/GDP-mannose transporter	Drug/Metabolite Transporter (DMT) Superfamily	UDP-glucuronate/UDP-N-acetylgalactosamine Transporter (UGnT) Family
DTD0300	Fringe connection-like protein 1	Drug/Metabolite Transporter (DMT) Superfamily	UDP-glucuronate/UDP-N-acetylgalactosamine Transporter (UGnT) Family
DTD0305	Solute carrier family 35 member E4	Drug/Metabolite Transporter (DMT) Superfamily	Triose-phosphate Transporter (TPT) Family
DTD0308	Putative thiamine transporter SLC35F3	Drug/Metabolite Transporter (DMT) Superfamily	Thiamine Pyrophosphate Transporter (TPPT) Family
DTD0311	ANT2-binding protein	Drug/Metabolite Transporter (DMT) Superfamily	CMP-Sialate:CMP Antiporter (CSA) Family
DTD0318	Proton-coupled amino acid transporter 1	Amino Acid/Auxin Permease (AAAP) Family	.
DTD0319	Proton-coupled amino acid transporter 2	Amino Acid/Auxin Permease (AAAP) Family	.
DTD0320	Proton-coupled amino acid transporter 3	Amino Acid/Auxin Permease (AAAP) Family	.
DTD0321	Proton-coupled amino acid transporter 4	Amino Acid/Auxin Permease (AAAP) Family	.
DTD0322	Glycerol-3-phosphate permease	Major Facilitator Superfamily (MFS)	Organophosphate:Pi Antiporter (OPA) Family
DTD0323	Glucose-6-phosphate exchanger SLC37A2	Major Facilitator Superfamily (MFS)	Organophosphate:Pi Antiporter (OPA) Family
DTD0324	Sugar phosphate exchanger 3	Major Facilitator Superfamily (MFS)	Organophosphate:Pi Antiporter (OPA) Family
DTD0325	Glucose-6-phosphate translocase	Major Facilitator Superfamily (MFS)	Organophosphate:Pi Antiporter (OPA) Family
DTD0326	Sodium-coupled neutral amino acid transporter 1	Amino Acid/Auxin Permease (AAAP) Family	.
DTD0327	Putative sodium-coupled neutral amino acid transporter 10	Amino Acid/Auxin Permease (AAAP) Family	.
DTD0328	Putative sodium-coupled neutral amino acid transporter 11	Amino Acid/Auxin Permease (AAAP) Family	.
DTD0329	Sodium-coupled neutral amino acid transporter 2	Amino Acid/Auxin Permease (AAAP) Family	.
DTD0330	Sodium-coupled neutral amino acid transporter 3	Amino Acid/Auxin Permease (AAAP) Family	.
DTD0331	Sodium-coupled neutral amino acid transporter 4	Amino Acid/Auxin Permease (AAAP) Family	.
DTD0332	Sodium-coupled neutral amino acid transporter 5	Amino Acid/Auxin Permease (AAAP) Family	.
DTD0333	Probable sodium-coupled neutral amino acid transporter 6	Amino Acid/Auxin Permease (AAAP) Family	.
DTD0334	Putative sodium-coupled neutral amino acid transporter 7	Amino Acid/Auxin Permease (AAAP) Family	.
