,TransporterID,Gene_name,Protein_Name_generally,Synonyms,DrugID,Drug_Name,synonyms,final_smiles
10,DTD0004,ABCG2,Breast cancer resistance protein,ABC15; ABCG2; ABCP; ATP-binding cassette sub-family G member 2; BCRP; BCRP1; BMDP; CD338; CDw338; EST157481; GOUT1; MRX; MXR; MXR-1; MXR1; Mitoxantrone resistance-associated protein; Placenta-specific ATP-binding cassette transporter; UAQTL1; Urate exporter; hABCG2,DR00019,Estrone sulfate,Estrone 3-sulfate; Estrone hydrogen sulfate; Estrone sulphate; [3H]-estrone hydrogen sulfate; [3H]-estrone-3-sulphate; [3H]estrone-3-sulfate; [3H]estrone-3-sulphate,CC12CCC3C(C1CCC2=O)CCC4=C3C=CC(=C4)OS(=O)(=O)O
11,DTD0007,SLC47A1,Multidrug and toxin extrusion protein 1,MATE-1; MATE1; SLC47A1; Solute carrier family 47 member 1; hMATE-1,DR00019,Estrone sulfate,Estrone 3-sulfate; Estrone hydrogen sulfate; Estrone sulphate; [3H]-estrone hydrogen sulfate; [3H]-estrone-3-sulphate; [3H]estrone-3-sulfate; [3H]estrone-3-sulphate,CC12CCC3C(C1CCC2=O)CCC4=C3C=CC(=C4)OS(=O)(=O)O
12,DTD0008,SLCO1B1,Organic anion transporting polypeptide 1B1,LST-1; LST1; Liver-specific organic anion transporter 1; OATP-2; OATP-C; OATP1B1; OATP2; OATPC; SLC21A6; SLCO1B1; Sodium-independent organic anion-transporting polypeptide 2; Solute carrier family 21 member 6; Solute carrier organic anion transporter family member 1B1,DR00019,Estrone sulfate,Estrone 3-sulfate; Estrone hydrogen sulfate; Estrone sulphate; [3H]-estrone hydrogen sulfate; [3H]-estrone-3-sulphate; [3H]estrone-3-sulfate; [3H]estrone-3-sulphate,CC12CCC3C(C1CCC2=O)CCC4=C3C=CC(=C4)OS(=O)(=O)O
13,DTD0019,SLC10A1,Sodium/taurocholate cotransporting polypeptide,Cell growth-inhibiting gene 29 protein; NTCP; Na(+)/bile acid cotransporter; Na(+)/taurocholate transport protein; SLC10A1; Sodium/bile acid cotransporter; Solute carrier family 10 member 1,DR00019,Estrone sulfate,Estrone 3-sulfate; Estrone hydrogen sulfate; Estrone sulphate; [3H]-estrone hydrogen sulfate; [3H]-estrone-3-sulphate; [3H]estrone-3-sulfate; [3H]estrone-3-sulphate,CC12CCC3C(C1CCC2=O)CCC4=C3C=CC(=C4)OS(=O)(=O)O
14,DTD0025,SLC22A8,Organic anion transporter 3,OAT3; SLC22A8; Solute carrier family 22 member 8; hOAT3,DR00019,Estrone sulfate,Estrone 3-sulfate; Estrone hydrogen sulfate; Estrone sulphate; [3H]-estrone hydrogen sulfate; [3H]-estrone-3-sulphate; [3H]estrone-3-sulfate; [3H]estrone-3-sulphate,CC12CCC3C(C1CCC2=O)CCC4=C3C=CC(=C4)OS(=O)(=O)O
15,DTD0026,SLC22A11,Organic anion transporter 4,OAT4; SLC22A11; Solute carrier family 22 member 11; hOAT4,DR00019,Estrone sulfate,Estrone 3-sulfate; Estrone hydrogen sulfate; Estrone sulphate; [3H]-estrone hydrogen sulfate; [3H]-estrone-3-sulphate; [3H]estrone-3-sulfate; [3H]estrone-3-sulphate,CC12CCC3C(C1CCC2=O)CCC4=C3C=CC(=C4)OS(=O)(=O)O
16,DTD0028,SLC47A2,Multidrug and toxin extrusion protein 2,Kidney-specific H(+)/organic cation antiporter; MATE-2; MATE2; MATE2-B; MATE2-K; MATE2K; SLC47A2; Solute carrier family 47 member 2; hMATE-2,DR00019,Estrone sulfate,Estrone 3-sulfate; Estrone hydrogen sulfate; Estrone sulphate; [3H]-estrone hydrogen sulfate; [3H]-estrone-3-sulphate; [3H]estrone-3-sulfate; [3H]estrone-3-sulphate,CC12CCC3C(C1CCC2=O)CCC4=C3C=CC(=C4)OS(=O)(=O)O
17,DTD0029,SLCO1A2,Organic anion transporting polypeptide 1A2,OATP-A; OATP1A2; Organic anion-transporting polypeptide 1; SLC21A3; SLCO1A2; Sodium-independent organic anion transporter; Solute carrier family 21 member 3; Solute carrier organic anion transporter family member 1A2,DR00019,Estrone sulfate,Estrone 3-sulfate; Estrone hydrogen sulfate; Estrone sulphate; [3H]-estrone hydrogen sulfate; [3H]-estrone-3-sulphate; [3H]estrone-3-sulfate; [3H]estrone-3-sulphate,CC12CCC3C(C1CCC2=O)CCC4=C3C=CC(=C4)OS(=O)(=O)O
18,DTD0030,SLCO1B3,Organic anion transporting polypeptide 1B3,LST-2; LST-3TM13; LST2; LST3; Liver-specific organic anion transporter 2; OATP-8; OATP1B3; OATP8; Organic anion transporter 8; Organic anion-transporting polypeptide 8; SLC21A8; SLCO1B3; Solute carrier family 21 member 8; Solute carrier organic anion transporter family member 1B3,DR00019,Estrone sulfate,Estrone 3-sulfate; Estrone hydrogen sulfate; Estrone sulphate; [3H]-estrone hydrogen sulfate; [3H]-estrone-3-sulphate; [3H]estrone-3-sulfate; [3H]estrone-3-sulphate,CC12CCC3C(C1CCC2=O)CCC4=C3C=CC(=C4)OS(=O)(=O)O
19,DTD0031,SLCO2B1,Organic anion transporting polypeptide 2B1,KIAA0880; OATP-B; OATP-RP2; OATP2B1; OATPB; OATPRP2; Organic anion transporter B; Organic anion transporter polypeptide-related protein 2; SLC21A9; SLCO2B1; Solute carrier family 21 member 9; Solute carrier organic anion transporter family member 2B1,DR00019,Estrone sulfate,Estrone 3-sulfate; Estrone hydrogen sulfate; Estrone sulphate; [3H]-estrone hydrogen sulfate; [3H]-estrone-3-sulphate; [3H]estrone-3-sulfate; [3H]estrone-3-sulphate,CC12CCC3C(C1CCC2=O)CCC4=C3C=CC(=C4)OS(=O)(=O)O
20,DTD0046,ABCA8,ATP-binding cassette sub-family A member 8,ABCA8; KIAA0822; ATP-binding cassette A member 8,DR00019,Estrone sulfate,Estrone 3-sulfate; Estrone hydrogen sulfate; Estrone sulphate; [3H]-estrone hydrogen sulfate; [3H]-estrone-3-sulphate; [3H]estrone-3-sulfate; [3H]estrone-3-sulphate,CC12CCC3C(C1CCC2=O)CCC4=C3C=CC(=C4)OS(=O)(=O)O
21,DTD0145,SLC22A20,Organic anion transporter 6,SLC22A20; SLC22A20P; OAT6; Solute carrier family 22 member 20; Solute carrier family 22 member 20 pseudogene,DR00019,Estrone sulfate,Estrone 3-sulfate; Estrone hydrogen sulfate; Estrone sulphate; [3H]-estrone hydrogen sulfate; [3H]-estrone-3-sulphate; [3H]estrone-3-sulfate; [3H]estrone-3-sulphate,CC12CCC3C(C1CCC2=O)CCC4=C3C=CC(=C4)OS(=O)(=O)O
22,DTD0391,SLC51A,Organic solute transporter subunit alpha,OST-alpha; OSTA; OSTalpha; SLC51A; Solute carrier family 51 subunit alpha,DR00019,Estrone sulfate,Estrone 3-sulfate; Estrone hydrogen sulfate; Estrone sulphate; [3H]-estrone hydrogen sulfate; [3H]-estrone-3-sulphate; [3H]estrone-3-sulfate; [3H]estrone-3-sulphate,CC12CCC3C(C1CCC2=O)CCC4=C3C=CC(=C4)OS(=O)(=O)O
23,DTD0392,SLC51B,Organic solute transporter subunit beta,OST-beta; OSTB; OSTBETA; SLC51B; Solute carrier family 51 subunit beta,DR00019,Estrone sulfate,Estrone 3-sulfate; Estrone hydrogen sulfate; Estrone sulphate; [3H]-estrone hydrogen sulfate; [3H]-estrone-3-sulphate; [3H]estrone-3-sulfate; [3H]estrone-3-sulphate,CC12CCC3C(C1CCC2=O)CCC4=C3C=CC(=C4)OS(=O)(=O)O
24,DTD0392,SLC51B,Organic solute transporter subunit beta,OST-beta; OSTB; OSTBETA; SLC51B; Solute carrier family 51 subunit beta,DR00019,Estrone sulfate,Estrone 3-sulfate; Estrone hydrogen sulfate; Estrone sulphate; [3H]-estrone hydrogen sulfate; [3H]-estrone-3-sulphate; [3H]estrone-3-sulfate; [3H]estrone-3-sulphate,CC12CCC3C(C1CCC2=O)CCC4=C3C=CC(=C4)OS(=O)(=O)O
25,DTD0501,SLCO3A1,Organic anion transporting polypeptide 3A1,OATP-D; OATP-RP3; OATP3A1; OATPD; OATPRP3; Organic anion transporter polypeptide-related protein 3; Organic anion-transporting polypeptide D; PGE1 transporter; SLC21A11; SLCO3A1; Sodium-independent organic anion transporter D; Solute carrier family 21 member 11; Solute carrier organic anion transporter family member 3A1,DR00019,Estrone sulfate,Estrone 3-sulfate; Estrone hydrogen sulfate; Estrone sulphate; [3H]-estrone hydrogen sulfate; [3H]-estrone-3-sulphate; [3H]estrone-3-sulfate; [3H]estrone-3-sulphate,CC12CCC3C(C1CCC2=O)CCC4=C3C=CC(=C4)OS(=O)(=O)O
26,DTD0502,SLCO4A1,Organic anion transporting polypeptide 4A1,Colon organic anion transporter; OATP-E; OATP-RP1; OATP4A1; OATPE; OATPRP1; Organic anion transporter polypeptide-related protein 1; Organic anion-transporting polypeptide E; POAT; SLC21A12; SLCO4A1; Sodium-independent organic anion transporter E; Solute carrier family 21 member 12; Solute carrier organic anion transporter family member 4A1,DR00019,Estrone sulfate,Estrone 3-sulfate; Estrone hydrogen sulfate; Estrone sulphate; [3H]-estrone hydrogen sulfate; [3H]-estrone-3-sulphate; [3H]estrone-3-sulfate; [3H]estrone-3-sulphate,CC12CCC3C(C1CCC2=O)CCC4=C3C=CC(=C4)OS(=O)(=O)O
27,DTD0503,SLCO4C1,Organic anion transporting polypeptide 4C1,OATP-H; OATP-M1; OATP4C1; OATPX; Organic anion transporter M1; PRO2176; SLC21A20; SLCO4C1; Solute carrier family 21 member 20,DR00019,Estrone sulfate,Estrone 3-sulfate; Estrone hydrogen sulfate; Estrone sulphate; [3H]-estrone hydrogen sulfate; [3H]-estrone-3-sulphate; [3H]estrone-3-sulfate; [3H]estrone-3-sulphate,CC12CCC3C(C1CCC2=O)CCC4=C3C=CC(=C4)OS(=O)(=O)O
28,DTD0001,ABCC1,Multidrug resistance-associated protein 1,ABC29; ABCC; ABCC1; ATP-binding cassette sub-family C member 1; GS-X; LTC4 transporter; Leukotriene C(4) transporter; MRP; MRP1,DR00039,Glutathione,5-L-Glutamyl-L-cysteinylglycine; 70-18-8; Agifutol S; Copren; Deltathione; GSH; Glutathion; Glutathione; Glutathione (reduced); Glutathione SH; Glutathione [JAN]; Glutathione-SH; Glutatiol; Glutatione; Glutide; Glutinal; Isethion; L-Glutathione reduced; L-Glutatione; L-gamma-glutamyl-L-cysteinylglycine; Ledac; Neuthion; Panaron; Tathion; Tathione; Triptide; gamma-L-Glutamyl-L-cysteinylglycine; gamma-L-Glutamylcysteinylglycine; gamma-L-glutamyl-L-cysteinyl-glycine; glutathione red; red. glutathione; reduced glutathione,C(CC(=O)NC(CS)C(=O)NCC(=O)O)C(C(=O)O)N
29,DTD0002,ABCC2,Multidrug resistance-associated protein 2,ABC30; ABCC2; ATP-binding cassette sub-family C member 2; CMOAT; CMOAT1; CMRP; Canalicular multidrug resistance protein; Canalicular multispecific organic anion transporter 1; DJS; MRP2,DR00039,Glutathione,5-L-Glutamyl-L-cysteinylglycine; 70-18-8; Agifutol S; Copren; Deltathione; GSH; Glutathion; Glutathione; Glutathione (reduced); Glutathione SH; Glutathione [JAN]; Glutathione-SH; Glutatiol; Glutatione; Glutide; Glutinal; Isethion; L-Glutathione reduced; L-Glutatione; L-gamma-glutamyl-L-cysteinylglycine; Ledac; Neuthion; Panaron; Tathion; Tathione; Triptide; gamma-L-Glutamyl-L-cysteinylglycine; gamma-L-Glutamylcysteinylglycine; gamma-L-glutamyl-L-cysteinyl-glycine; glutathione red; red. glutathione; reduced glutathione,C(CC(=O)NC(CS)C(=O)NCC(=O)O)C(C(=O)O)N
30,DTD0003,ABCB1,P-glycoprotein 1,ABC20; ABCB1; ATP-binding cassette sub-family B member 1; CD243; CLCS; GP170; MDR1; P-GP; PGY1; hMDR1,DR00039,Glutathione,5-L-Glutamyl-L-cysteinylglycine; 70-18-8; Agifutol S; Copren; Deltathione; GSH; Glutathion; Glutathione; Glutathione (reduced); Glutathione SH; Glutathione [JAN]; Glutathione-SH; Glutatiol; Glutatione; Glutide; Glutinal; Isethion; L-Glutathione reduced; L-Glutatione; L-gamma-glutamyl-L-cysteinylglycine; Ledac; Neuthion; Panaron; Tathion; Tathione; Triptide; gamma-L-Glutamyl-L-cysteinylglycine; gamma-L-Glutamylcysteinylglycine; gamma-L-glutamyl-L-cysteinyl-glycine; glutathione red; red. glutathione; reduced glutathione,C(CC(=O)NC(CS)C(=O)NCC(=O)O)C(C(=O)O)N
31,DTD0004,ABCG2,Breast cancer resistance protein,ABC15; ABCG2; ABCP; ATP-binding cassette sub-family G member 2; BCRP; BCRP1; BMDP; CD338; CDw338; EST157481; GOUT1; MRX; MXR; MXR-1; MXR1; Mitoxantrone resistance-associated protein; Placenta-specific ATP-binding cassette transporter; UAQTL1; Urate exporter; hABCG2,DR00039,Glutathione,5-L-Glutamyl-L-cysteinylglycine; 70-18-8; Agifutol S; Copren; Deltathione; GSH; Glutathion; Glutathione; Glutathione (reduced); Glutathione SH; Glutathione [JAN]; Glutathione-SH; Glutatiol; Glutatione; Glutide; Glutinal; Isethion; L-Glutathione reduced; L-Glutatione; L-gamma-glutamyl-L-cysteinylglycine; Ledac; Neuthion; Panaron; Tathion; Tathione; Triptide; gamma-L-Glutamyl-L-cysteinylglycine; gamma-L-Glutamylcysteinylglycine; gamma-L-glutamyl-L-cysteinyl-glycine; glutathione red; red. glutathione; reduced glutathione,C(CC(=O)NC(CS)C(=O)NCC(=O)O)C(C(=O)O)N
32,DTD0015,ABCC4,Multidrug resistance-associated protein 4,ABCC4; ATP-binding cassette sub-family C member 4; MOAT-B; MOATB; MRP/cMOAT-related ABC transporter; MRP4; Multi-specific organic anion transporter B,DR00039,Glutathione,5-L-Glutamyl-L-cysteinylglycine; 70-18-8; Agifutol S; Copren; Deltathione; GSH; Glutathion; Glutathione; Glutathione (reduced); Glutathione SH; Glutathione [JAN]; Glutathione-SH; Glutatiol; Glutatione; Glutide; Glutinal; Isethion; L-Glutathione reduced; L-Glutatione; L-gamma-glutamyl-L-cysteinylglycine; Ledac; Neuthion; Panaron; Tathion; Tathione; Triptide; gamma-L-Glutamyl-L-cysteinylglycine; gamma-L-Glutamylcysteinylglycine; gamma-L-glutamyl-L-cysteinyl-glycine; glutathione red; red. glutathione; reduced glutathione,C(CC(=O)NC(CS)C(=O)NCC(=O)O)C(C(=O)O)N
33,DTD0030,SLCO1B3,Organic anion transporting polypeptide 1B3,LST-2; LST-3TM13; LST2; LST3; Liver-specific organic anion transporter 2; OATP-8; OATP1B3; OATP8; Organic anion transporter 8; Organic anion-transporting polypeptide 8; SLC21A8; SLCO1B3; Solute carrier family 21 member 8; Solute carrier organic anion transporter family member 1B3,DR00039,Glutathione,5-L-Glutamyl-L-cysteinylglycine; 70-18-8; Agifutol S; Copren; Deltathione; GSH; Glutathion; Glutathione; Glutathione (reduced); Glutathione SH; Glutathione [JAN]; Glutathione-SH; Glutatiol; Glutatione; Glutide; Glutinal; Isethion; L-Glutathione reduced; L-Glutatione; L-gamma-glutamyl-L-cysteinylglycine; Ledac; Neuthion; Panaron; Tathion; Tathione; Triptide; gamma-L-Glutamyl-L-cysteinylglycine; gamma-L-Glutamylcysteinylglycine; gamma-L-glutamyl-L-cysteinyl-glycine; glutathione red; red. glutathione; reduced glutathione,C(CC(=O)NC(CS)C(=O)NCC(=O)O)C(C(=O)O)N
34,DTD0001,ABCC1,Multidrug resistance-associated protein 1,ABC29; ABCC; ABCC1; ATP-binding cassette sub-family C member 1; GS-X; LTC4 transporter; Leukotriene C(4) transporter; MRP; MRP1,DR00044,Topotecan,"(4S)-10-[(dimethylamino)methyl]-4-ethyl-4,9-dihydroxy-1H-pyrano[3',4':6,7]indolizino[1,2-b]quinoline-3,14(4H,12H)-dione; (S)-10-((Dimethylamino)methyl)-4-ethyl-4,9-dihydroxy-1H-pyrano(3',4':6,7)indolizino(1,2-b)quinoline-3,14(4H,12H)-dione; (S)-10-[(DIMETHYLAMINO)METHYL]-4-ETHYL-4,9-DIHYDROXY-1H-PYRANO[3',4':6,7]INOLIZINO[1,2-B]-QUINOLINE-3,14(4H,12H)-DIONE; (S)-10-[(Dimethylamino)methyl]-4-ethyl-4,9-dihydroxy-1H-pyrano[3',4':6,7]indolizino[1,2-b]-quinoline-3,14(4H,12H)-dione; (S)-10-[(Dimethylamino)methyl]-4-ethyl-4,9-dihydroxy-1H-pyrano[3',4':6,7]indolizino[1,2-b]quinoline-3,14(4H,12H)-dione; 9-Dimethylaminomethyl-10-hydroxycamptothecin; Hycamptamine; Hycamptin; Hycamtamine; Hycamtin; Hycamtin (TN); SK&F-104864-A; SKF 104864; SKF-104864-A; SKF-S 104864; TOPOTECAN, HYCAMTIN; Topotecan (BAN); Topotecan Monohydrochloride, (S)-Isomer; Topotecan [INN:BAN]; Topotecan lactone; Topotecane; Topotecane [INN-French]; Topotecanum; Topotecanum [INN-Latin]",CCC1(C2=C(COC1=O)C(=O)N3CC4=CC5=C(C=CC(=C5CN(C)C)O)N=C4C3=C2)O
35,DTD0003,ABCB1,P-glycoprotein 1,ABC20; ABCB1; ATP-binding cassette sub-family B member 1; CD243; CLCS; GP170; MDR1; P-GP; PGY1; hMDR1,DR00044,Topotecan,"(4S)-10-[(dimethylamino)methyl]-4-ethyl-4,9-dihydroxy-1H-pyrano[3',4':6,7]indolizino[1,2-b]quinoline-3,14(4H,12H)-dione; (S)-10-((Dimethylamino)methyl)-4-ethyl-4,9-dihydroxy-1H-pyrano(3',4':6,7)indolizino(1,2-b)quinoline-3,14(4H,12H)-dione; (S)-10-[(DIMETHYLAMINO)METHYL]-4-ETHYL-4,9-DIHYDROXY-1H-PYRANO[3',4':6,7]INOLIZINO[1,2-B]-QUINOLINE-3,14(4H,12H)-DIONE; (S)-10-[(Dimethylamino)methyl]-4-ethyl-4,9-dihydroxy-1H-pyrano[3',4':6,7]indolizino[1,2-b]-quinoline-3,14(4H,12H)-dione; (S)-10-[(Dimethylamino)methyl]-4-ethyl-4,9-dihydroxy-1H-pyrano[3',4':6,7]indolizino[1,2-b]quinoline-3,14(4H,12H)-dione; 9-Dimethylaminomethyl-10-hydroxycamptothecin; Hycamptamine; Hycamptin; Hycamtamine; Hycamtin; Hycamtin (TN); SK&F-104864-A; SKF 104864; SKF-104864-A; SKF-S 104864; TOPOTECAN, HYCAMTIN; Topotecan (BAN); Topotecan Monohydrochloride, (S)-Isomer; Topotecan [INN:BAN]; Topotecan lactone; Topotecane; Topotecane [INN-French]; Topotecanum; Topotecanum [INN-Latin]",CCC1(C2=C(COC1=O)C(=O)N3CC4=CC5=C(C=CC(=C5CN(C)C)O)N=C4C3=C2)O
36,DTD0004,ABCG2,Breast cancer resistance protein,ABC15; ABCG2; ABCP; ATP-binding cassette sub-family G member 2; BCRP; BCRP1; BMDP; CD338; CDw338; EST157481; GOUT1; MRX; MXR; MXR-1; MXR1; Mitoxantrone resistance-associated protein; Placenta-specific ATP-binding cassette transporter; UAQTL1; Urate exporter; hABCG2,DR00044,Topotecan,"(4S)-10-[(dimethylamino)methyl]-4-ethyl-4,9-dihydroxy-1H-pyrano[3',4':6,7]indolizino[1,2-b]quinoline-3,14(4H,12H)-dione; (S)-10-((Dimethylamino)methyl)-4-ethyl-4,9-dihydroxy-1H-pyrano(3',4':6,7)indolizino(1,2-b)quinoline-3,14(4H,12H)-dione; (S)-10-[(DIMETHYLAMINO)METHYL]-4-ETHYL-4,9-DIHYDROXY-1H-PYRANO[3',4':6,7]INOLIZINO[1,2-B]-QUINOLINE-3,14(4H,12H)-DIONE; (S)-10-[(Dimethylamino)methyl]-4-ethyl-4,9-dihydroxy-1H-pyrano[3',4':6,7]indolizino[1,2-b]-quinoline-3,14(4H,12H)-dione; (S)-10-[(Dimethylamino)methyl]-4-ethyl-4,9-dihydroxy-1H-pyrano[3',4':6,7]indolizino[1,2-b]quinoline-3,14(4H,12H)-dione; 9-Dimethylaminomethyl-10-hydroxycamptothecin; Hycamptamine; Hycamptin; Hycamtamine; Hycamtin; Hycamtin (TN); SK&F-104864-A; SKF 104864; SKF-104864-A; SKF-S 104864; TOPOTECAN, HYCAMTIN; Topotecan (BAN); Topotecan Monohydrochloride, (S)-Isomer; Topotecan [INN:BAN]; Topotecan lactone; Topotecane; Topotecane [INN-French]; Topotecanum; Topotecanum [INN-Latin]",CCC1(C2=C(COC1=O)C(=O)N3CC4=CC5=C(C=CC(=C5CN(C)C)O)N=C4C3=C2)O
