TransporterID	Gene_name	Protein_Name_generally	Synonyms	DrugID	Drug_Name	synonyms
DTD0001	ABCC1	Multidrug resistance-associated protein 1	ABC29; ABCC; ABCC1; ATP-binding cassette sub-family C member 1; GS-X; LTC4 transporter; Leukotriene C(4) transporter; MRP; MRP1	DR00147	Ivermectin	IVERMECTIN; Ivermectin B1a; Dihydroavermectin B1a; 22,23-Dihydroavermectin B1a; 71827-03-7; avermectin H2B1a; UNII-91Y2202OUW
DTD0001	ABCC1	Multidrug resistance-associated protein 1	ABC29; ABCC; ABCC1; ATP-binding cassette sub-family C member 1; GS-X; LTC4 transporter; Leukotriene C(4) transporter; MRP; MRP1	DR00161	SN-38	(+)-7-ETHYL-10-HYDROXYCAMPTOTHECIN; (S)-4,11-Diethyl-4,9-dihydroxy-1H-pyrano[3',4':6,7]indolizino[1,2-b]quinoline-3,14(4H,12H)-dione; 0H43101T0J; 10-Hydroxy-7-ethylcamptothecin; 113015-38-6; 7-Ethyl-10-hydroxy camptothecin; 7-Ethyl-10-hydroxy-20(S)-camptothecin; 7-Ethyl-10-hydroxy-camptothecin; 7-Ethyl-10-hydroxycamptothecin; 7-Ethyl-10-hydroxycamptothecine; 86639-52-3; Captothecin, 7-ethyl-10-hydroxy-; LE-SN38; NSC673596; SN 38; SN 38 lactone; SN38; UNII-0H43101T0J
DTD0001	ABCC1	Multidrug resistance-associated protein 1	ABC29; ABCC; ABCC1; ATP-binding cassette sub-family C member 1; GS-X; LTC4 transporter; Leukotriene C(4) transporter; MRP; MRP1	DR00162	Etoposide	(-)-Etoposide; 4'-Demethyl-epipodophyllotoxin 9-[4,6-O-(R)-ethylidene-beta-D-glucopyranoside; 4'-Demethylepipodophyllotoxin 9-(4,6-O-(R)-ethylidene-beta-D-glucopyranoside); 4'-Demethylepipodophyllotoxin 9-(4,6-O-ethylidene-beta-D-glucopyranoside); 4'-Demethylepipodophyllotoxin ethylidene-.beta.-D-glucoside; 4'-O-Demethyl-1-O-(4,6-O-ethylidene-beta-D-glucopyranosyl)epipodophyllotoxin; 4-Demethylepipodophyllotoxin beta-D-ethylideneglucoside; 4-Demethylepipodophyllotoxin-.beta.-D-ethylideneglucoside; DEMETHY-EPIPODOPHYLLOTOXIN, ETHYLIDENE GLUCOSIDE; Demethyl EpipodophyllotoxinEthylidine Glucoside; Demethyl-epiodophyllotoxin ethylidene glucoside; Demethylepipodophyllotoxin-beta-D-ethylideneglucoside; E0675; Epipodophyllotoxin VP-16213; Epipodophyllotoxin, 4'-demethyl-, 4,6-O-ethylidene-.beta.-D-glucopyranoside; Epipodophyllotoxin, 4'-demethyl-, 4,6-O-ethylidene-beta-D-glucopyranoside; Epipodophyllotoxin, 4'-demethyl-, 4,6-O-ethylidene-beta-D-glucopyranoside (8CI); Epipodophyllotoxin, 4'-demethyl-, 9-(4,6-O-ethylidene-.beta.-D-glucopyranoside); Epipodophyllotoxin, 4'-demethyl-, 9-(4,6-O-ethylidene-beta-D-glucopyranoside); Eposide; Eposin; Eposin (TN); Eposin, Vepesid, VP-16, Toposar, Etoposide; Etopol; Etopophos (TN); Etopophos (phosphate salt);Etoposide (VP16); Etoposide (JP15/USP/INN); Etoposide [USAN:INN:BAN:JAN]; Etoposido; Etoposido [INN-Spanish]; Etoposidum; Etoposidum [INN-Latin]; Etosid; Lastet; NK 171; Toposar; Trans-Etoposide; VP 16; VP 16 (pharmaceutical); VP 16-213; VP 16213; VP-16; VP-16 (TN); VP-16-213; VePESID (TN); VePesid; Vepesid J; Vepeside; Zuyeyidal
DTD0001	ABCC1	Multidrug resistance-associated protein 1	ABC29; ABCC; ABCC1; ATP-binding cassette sub-family C member 1; GS-X; LTC4 transporter; Leukotriene C(4) transporter; MRP; MRP1	DR00170	Epirubicin	(1S,3S)-3,5,12-trihydroxy-3-(hydroxyacetyl)-10-(methyloxy)-6,11-dioxo-1,2,3,4,6,11-hexahydrotetracen-1-yl 3-amino-2,3,6-trideoxy-alpha-L-arabino-hexopyranoside; (1S,3S)-3,5,12-trihydroxy-3-(hydroxyacetyl)-10-methoxy-6,11-dioxo-1,2,3,4,6,11-hexahydrotetracen-1-yl 3-amino-2,3,6-trideoxy-alpha-L-arabino-hexopyranoside; (7S,9R)-7-[(2S,4S,5R,6S)-4-Amino-5-hydroxy-6-methyl-oxan-2-yl]oxy-6,9,11-trihydroxy-9-(2-hydroxyacetyl)-4-methoxy-8,10-dihydro-7H-tetracene-5,12-dione; (7S,9S)-7-[(2R,4S,5R,6S)-4-amino-5-hydroxy-6-methyloxan-2-yl]oxy-6,9,11-trihydroxy-9-(2-hydroxyacetyl)-4-methoxy-8,10-dihydro-7H-tetracene-5,12-dione; 10-((3-amino-2,3,6-trideoxy-beta-L-arabino-hexopyranosyl)oxy)-7,8,9,10-tetrahydro-6,8,11-trihydroxy-8-(hydroxyacetyl)-1-methoxy-(8S-cis)-5,12-naphthacenedione; 4'-Epi-DXR; 4'-Epiadriamycin; 4'-epi-DX; 4'-epi-Doxorubicin; 4'-epidoxorubicin; 4-Epidoxorubicin; Ebewe (TN); Ellence; Ellence (TN); Epi-DX; Epiadriamycin; Epidoxorubicin; Epirubicin (INN); Epirubicin (TN); Epirubicin [INN:BAN]; Epirubicina; Epirubicina [INN-Spanish]; Epirubicina [Spanish]; Epirubicine; Epirubicine [French]; Epirubicine [INN-French]; Epirubicinum; Epirubicinum [INN-Latin]; Epirubicinum [Latin]; Farmorubicin (TN); IMI 28; Pharmorubicin (TN); Pharmorubicin Pfs; Pidorubicin; Pidorubicina; Pidorubicina [INN-Spanish]; Pidorubicine; Pidorubicine [INN-French]; Pidorubicinum; Pidorubicinum [INN-Latin]; Ridorubicin; WP 697
DTD0001	ABCC1	Multidrug resistance-associated protein 1	ABC29; ABCC; ABCC1; ATP-binding cassette sub-family C member 1; GS-X; LTC4 transporter; Leukotriene C(4) transporter; MRP; MRP1	DR00208	Estradiol-17beta-glucuronide	[3H]-estradiol-17beta-glucuronide
DTD0001	ABCC1	Multidrug resistance-associated protein 1	ABC29; ABCC; ABCC1; ATP-binding cassette sub-family C member 1; GS-X; LTC4 transporter; Leukotriene C(4) transporter; MRP; MRP1	DR00225	Quercetin	2-(3,4-Dihydroxy-phenyl)-3,5,7-trihydroxy-chromen-4-one; 2-(3,4-Dihydroxyphenyl)-3,5,7-trihydroxy-4H-1-benzopyran-4-one; 2-(3,4-Dihydroxyphenyl)-3,5,7-trihydroxy-4H-1-benzopyran-4-one dihydrate; 2-(3,4-Dihydroxyphenyl)-3,5,7-trihydroxy-4H-chromen-4-one; 2-(3,4-dihydroxyphenyl)-3,5,7-trihydroxychromen-4-one; 3',4',5,7-Tetrahydroxyflavan-3-ol; 3',4',5,7-tetrahydroxyflavon-3-ol; 3,3',4',5,7-Pentahydroxyflavone; 3,3',4',5,7-Pentahydroxyflavone dihydrate; 3,3',4,5,7-Pentahydroxyflavone; 3,5,7,3',4'-Pentahydroxyflavone; 3,5,7-Trihydroxy-2-(3,4-dihydroxyphenyl)-4H-chromen-4-on; 3,5,7-trihydroxy-2-(3,4-dihydroxyphenyl)-4H-chromen-4-one; C.I . natural yellow 10; C.I. 75670; C.I. Natural Yellow 10; C.I. Natural red 1; C.I. Natural yellow 10 & 13; CI Natural Yellow 10; CU-01000012502-3; Cyanidelonon 1522; Flavin meletin; KSC-10-126; KSC-23-76; KUC104418N; KUC107684N; Kvercetin; Kvercetin [Czech]; LIM-5662; LNS-5662; Meletin; MixCom3_000183; Natural Yellow 10; P0042; Q 0125; QUE; Quercetin content; Quercetin dihydrate; Quercetine; Quercetol; Quercitin; Quertin; Quertine; Sophoretin; T-Gelb bzw. grun 1; TNP00070; TNP00089; Xanthaurine
DTD0001	ABCC1	Multidrug resistance-associated protein 1	ABC29; ABCC; ABCC1; ATP-binding cassette sub-family C member 1; GS-X; LTC4 transporter; Leukotriene C(4) transporter; MRP; MRP1	DR00226	Saxagliptin	(1S,5S)-2-[2-amino-2-(3-hydroxy-1-adamantyl)acetyl]-2-azabicyclo[3.1.0]hexane-3-carbonitrile; 2-Azabicyclo[3.1.0]hexane-3-carbonitrile, 2-[(2S)-amino(3-hydroxytricyclo[3.3; BMS 477118-11; BMS-477118; BMS-477118-11; Kombiglyze XR (TN); OPC-262; Onglyza; Onglyza (TN)
DTD0001	ABCC1	Multidrug resistance-associated protein 1	ABC29; ABCC; ABCC1; ATP-binding cassette sub-family C member 1; GS-X; LTC4 transporter; Leukotriene C(4) transporter; MRP; MRP1	DR00251	Docetaxel	(2alpha,5beta,7beta,10beta,13alpha)-4-(acetyloxy)-13-({(2R,3S)-3-[(tert-butoxycarbonyl)amino]-2-hydroxy-3-phenylpropanoyl}oxy)-1,7,10-trihydroxy-9-oxo-5,20-epoxytax-11-en-2-yl benzoate; 4-(acetyloxy)-13alpha-({(2R,3S)-3-[(tert-butoxycarbonyl)amino]-2-hydroxy-3-phenylpropanoyl}oxy)-1,7beta,10beta-trihydroxy-9-oxo-5beta,20-epoxytax-11-en-2alpha-yl benzoate; ANX-514; Docetaxel (INN); Docetaxel 114977-28-5; Docetaxel anhydrous; Docetaxel, Trihydrate; EmDOC; N-debenzoyl-N-(tert-butoxycarbonyl)-10-deacetylpaclitaxel; N-debenzoyl-N-(tert-butoxycarbonyl)-10-deacetyltaxol; N-debenzoyl-N-Boc-10-deacetyl taxol; RP-56976; SDP-014; TXL; Taxotere; Taxotere (TN); Taxotere(R); XRP-6976L
DTD0001	ABCC1	Multidrug resistance-associated protein 1	ABC29; ABCC; ABCC1; ATP-binding cassette sub-family C member 1; GS-X; LTC4 transporter; Leukotriene C(4) transporter; MRP; MRP1	DR00264	Verapamil	(+-)-Verapamil; (+/-)-VERAPAMIL; (1)-3-(3,4-Dimethoxyphenyl)-6-((5,6-dimethoxyphenethyl)methylamino)hexane-3-carbonitrile; 2-(3,4-Dimethoxyphenyl)-5-[2-(3,4-dimethoxyphenyl)ethyl-methyl-amino]-2-(1-methylethyl) pentanenitrile; 2-(3,4-dimethoxyphenyl)-5-[2-(3,4-dimethoxyphenyl)ethyl-methylamino]-2-propan-2-ylpentanenitrile; 2-(3,4-dimethoxyphenyl)-5-{[2-(3,4-dimethoxyphenyl)ethyl](methyl)amino}-2-(propan-2-yl)pentanenitrile; 5-((3,4-Dimethoxyphenethyl)methylamino)-2-(3,4-dimethoxyphenyl)-2-isopropylvaleronitrile; 5-[(3,4-Dimethoxyphenethyl)methylamino]-2-(3,4-dimethoxyphenyl)-2-isopropylvaleronitrile; Alpha-((N-Methyl-N-homoveratryl)-gamma-aminopropyl)-3,4-dimethoxyphenylacetonitrile; Alpha-(3-((2-(3,4-Dimethoxyphenyl)ethyl)-methylamino)propyl)-3,4-dimethoxy-alpha-(1-methylethyl)benzeneacetonitrile; Alpha-Isopropyl-alpha-((N-methyl-N-homoveratryl)-gamma-aminopropyl)-3,4-dimethoxyphenylacetonitrile; Arpamyl; Bosoptin (TN); CP-16533-1; Calan; Calan (TN); Calcan; Cordilox; Covera-HS (TN); D-365; Dexverapamil; Dilacoran; Drosteakard; Iproveratril; Isoptimo; Isoptin; Isoptin (TN); Isotopin; Vasolan; Veracim; Verapamil (Na-Ca chanel blocker); Verapamil (USAN/INN); Verapamil [USAN:BAN:INN]; Verapamil [USAN:INN:BAN]; Verapamilo; Verapamilo [INN-Spanish]; Verapamilum; Verapamilum [INN-Latin]; Veraptin; Verelan (TN); Verexamil
DTD0001	ABCC1	Multidrug resistance-associated protein 1	ABC29; ABCC; ABCC1; ATP-binding cassette sub-family C member 1; GS-X; LTC4 transporter; Leukotriene C(4) transporter; MRP; MRP1	DR00269	Mitoxantrone	1,4-Bis(2-(2-hydroxyethylamino)ethyl)amino)-5,8-dihydroxyanthraquinone; 1,4-DIHYDROXY-5,8-BIS({2-[(2-HYDROXYETHYL)AMINO]ETHYL}AMINO)-9,10-ANTHRACENEDIONE; 1,4-Dihydroxy-5,8-bis(2-((2-hydroxyethyl)amino)ethylamino)-9,10-anthracenedione; 1,4-Dihydroxy-5,8-bis(5-hydroxy-3-azapentylamino)anthrachinon; 1,4-Dihydroxy-5,8-bis[2-(2-hydroxyethylamino)ethylamino]anthracene-9,10-dione; 1,4-Dihydroxy-5,8-bis[[2-[(2-hydroxyethyl)amino]ethyl]amino]-9,10-anthracenedione; 1,4-dihydroxy-5,8-bis({2-[(2-hydroxyethyl)amino]ethyl}amino)anthra-9,10-quinone; 1,4-dihydroxy-5,8-bis({2-[(2-hydroxyethyl)amino]ethyl}amino)anthracene-9,10-dione; 5,8-Bis((2-((2-hydroxyethyl)amino)ethyl)amino)-1,4-dihydroxyanthraquinone; 9,10-Anthracenedione, 1,4-dihydroxy-5,8-bis((2-((2-hydroxyethyl)amino)ethyl)amino)-(9CI); AN-584/42007670; DHAD; DHAQ; DHAQ (*Diacetate salt*); DHAQ HCl; Dihydroxyanthraquinone; Liposome Encapsulated Mitoxantrone (LEM); MITOXANTRONE, 1,4-DIHYDROXY-5,8-BIS({2-[(2-HYDROXYETHYL)AMINO]ETHYL}AMINO)ANTHRA-9,10-QUINONE; MITOXANTRONE, Mitoxantrone Hydrochloride, Mitoxantrone dihydrochloride, MITOXANTHRONE HYDROCHLORIDE; MIX; Misostol; Misostol (TN); Mitoxanthrone; Mitoxantron; Mitoxantrona; Mitoxantrona [INN-Spanish]; Mitoxantrone (INN); Mitoxantrone (free base); Mitoxantrone 2HCl; Mitoxantrone [INN]; Mitoxantronum; Mitoxantronum [INN-Latin]; Mitozantrone; Mitozantrone hydrochloride; Novantrone (TN); Novantrone(R) (mitoxantrone for injection concentrate)
DTD0001	ABCC1	Multidrug resistance-associated protein 1	ABC29; ABCC; ABCC1; ATP-binding cassette sub-family C member 1; GS-X; LTC4 transporter; Leukotriene C(4) transporter; MRP; MRP1	DR00284	Daunorubicin	(+)-Daunomycin; (1S,3S)-3-acetyl-3,5,12-trihydroxy-10-(methyloxy)-6,11-dioxo-1,2,3,4,6,11-hexahydrotetracen-1-yl 3-amino-2,3,6-trideoxy-alpha-L-lyxo-hexopyranoside; (1S,3S)-3-acetyl-3,5,12-trihydroxy-10-methoxy-6,11-dioxo-1,2,3,4,6,11-hexahydrotetracen-1-yl 3-amino-2,3,6-trideoxy-a-L-lyxo-hexopyranoside; (7S,9R)-9-Acetyl-7-[(2S,4S,5S,6S)-4-amino-5-hydroxy-6-methyl-oxan-2-yl]oxy-6,9,11-trihydroxy-4-methoxy-8,10-dihydro-7H-tetracene-5,12-dione; (7S,9S)-9-acetyl-7-[(2R,4S,5S,6S)-4-amino-5-hydroxy-6-methyloxan-2-yl]oxy-6,9,11-trihydroxy-4-methoxy-8,10-dihydro-7H-tetracene-5,12-dione; (8S-cis)-8-Acetyl-10-((3-amino-2,3,6-trideoxy-alpha-L-lyxo-hexopyrannosyl)oxy)-7,8,9,10-tetrahydro-6,8,11-trihydroxy-1-methoxy-5,12-napthacenedione; (8S-cis)-8-Acetyl-10-[(3-amino-2,3,6-trideoxy-.alpha.-L-lyxo-hexopyranosyl)oxy]-7,8,9,10-tetrahydro-6,8,11-trihydroxy-1-methoxy-5,12-naphthacenedione; Acetyladriamycin; Anthracyline; Antibiotics from Streptomyces coeruleorubidus; Cerubidin; Cerubidine; DAUNORUBICIN HCL; DM1; Daunamycin; Daunarubicinum; Dauno-Rubidomycine; DaunoXome; DaunoXome (TN); Daunoblastin; Daunoblastine; Daunomycin; Daunorrubicina; Daunorubicin (INN); Daunorubicin (liposomal); Daunorubicin [INN:BAN]; Daunorubicin, Hydrochloride; Daunorubicine; Daunorubicinum; Daunorubicinum [INN-Latin]; FI 6339; FI6339; Leukaemomycin C; RP 13057; Rubidomycin; Rubomycin; Rubomycin C; VS-103
DTD0001	ABCC1	Multidrug resistance-associated protein 1	ABC29; ABCC; ABCC1; ATP-binding cassette sub-family C member 1; GS-X; LTC4 transporter; Leukotriene C(4) transporter; MRP; MRP1	DR00287	Resveratrol	(E)-5-(2-(4-hydroxyphenyl)ethenyl)-1,3-benzenediol; (E)-5-(p-Hydroxystyryl)resorcinol; (E)-5-[2-(4-Hydroxyphenyl)ethenyl]-1,3-benzenediol; (E)-5-[2-(4-hydroxyphenyl)ethenyl]-1,3-benzendiol; (E)-resveratrol; 3,4',5-Stilbenetriol; 3,4',5-Trihydroxy-trans-stilbene; 3,4',5-Trihydroxystilbene; 3,4',5-trihydroxy-stilbene; 3,5,4'-Trihydroxy-trans-stilbene; 3,5,4'-Trihydroxystilbene; 5-((1E)-2-(4-Hydroxyphenyl)ethenyl)-1,3-benzenediol; 5-[(1E)-2-(4-Hydroxyphenyl)ethenyl]-1,3-benzenediol; 5-[(E)-2-(4-hydroxyphenyl)ethenyl]benzene-1,3-diol; 5-[(E)-2-(4-hydroxyphenyl)vinyl]benzene-1,3-diol; 5-[2-(4-hydroxyphenyl)ethenyl]benzene-1,3-diol; CU-01000001503-3; Cis-resveratrol; KSC-10-164; KUC104385N; PREVENTION 8 (RESVERATROL); R 5010; RM-1812; Resveratrol-3-sulfate; Resvida; SRT 501; SRT-501; SRT501; Trans-1,2-(3,4',5-Trihydroxydiphenyl)ethylene; Trans-3,4&prime;,5-Trihydroxystilbene; Trans-3,4',5-trihydroxystilbene; Trans-resveratrol
